player_name,fd_position,true_position,projected_min,salary,team,opponent,location,implied_total,fp_pg,fp_per_min,usg_pct,usg_boost,fppm_adj,ref_weight,dvp_weight,line_weight,games_pct,gp_weight,low_gp_flag,min_sd,omega,omega_weight,proj_fp,fp_sd,ceiling,floor,fp_range,upside_ratio,hist_max_fp,hist_min_fp
Shai Gilgeous-Alexander,PG,PG,33.16,11300,OKC,MIN,away,117.5,50.88,1.5188,33.4,0.0,1.5188,0.9995091324200912,1.0420026047094142,0.99399202389379,95.8,1.0,False,4.44,0.876,1.0376,54.1,10.39,69.7,43.7,26.0,0.288,79.1,29.4
Cade Cunningham,PG,PG,37.84,10300,DET,PHO,away,109.0,49.94,1.4107,30.5,1.22,1.4501996,1.002945205479452,0.9836723215662684,0.9691102848002658,81.2,1.0,False,4.99,0.764,1.0264,53.85,13.8,74.6,40.0,34.599999999999994,0.385,95.9,22.0
Jalen Smith,C/PF,C,37.41,5600,CHI,MIA,home,118.0,23.25,1.151,19.3,1.4095505617977528,1.2098432584269665,0.9560958904109588,1.0952919991858685,1.0328545891635332,83.3,1.0,False,7.0,0.631,1.0131,49.6,9.76,64.2,39.8,24.40000000000001,0.294,49.6,1.6
Jalen Duren,C,C,34.39,7100,DET,PHO,away,109.0,36.37,1.2897,22.4,0.8959999999999999,1.3258116000000002,1.002945205479452,1.0709277039635257,0.9691102848002658,79.2,1.0,False,5.32,0.73,1.023,48.55,11.24,65.4,37.3,28.10000000000001,0.347,54.9,11.8
Bam Adebayo,C/PF,C,31.8,8400,MIA,CHI,away,120.5,37.59,1.2048,23.5,0.8222462203023757,1.2343084924406047,0.97513698630137,1.1258973946622106,1.0810514458876186,83.3,1.0,False,5.44,0.742,1.0242,47.71,11.1,64.4,36.6,27.800000000000004,0.35,59.3,3.2
Jamal Murray,PG/SG,PG,34.64,9800,DEN,BKN,away,108.0,44.08,1.2417,28.8,0.0,1.2417,1.036678082191781,0.9951943528044208,0.92844253003854,87.5,1.0,False,4.37,0.84,1.034,42.6,10.27,58.0,32.3,25.700000000000003,0.362,67.2,22.2
Mark Williams,C,C,35.3,5900,PHO,DET,home,105.5,28.84,1.2017,17.3,0.0,1.2017,1.0380593607305937,1.0152378863124565,0.915197211074628,87.5,1.0,False,4.6,0.823,1.0323,42.24,10.99,58.7,31.2,27.500000000000004,0.39,55.2,9.2
Alperen Sengun,C/PF,C,27.55,9600,HOU,ATL,away,114.0,45.7,1.3363,27.1,0.0,1.3363,1.002945205479452,1.080529396661986,1.008724415960306,79.2,1.0,False,7.16,0.599,1.0099,40.64,13.95,61.6,26.7,34.900000000000006,0.516,79.6,1.2
Amen Thompson,SG/PG,PG,35.97,8700,HOU,ATL,away,114.0,39.14,1.0465,20.6,0.0,1.0465,1.002945205479452,1.0253196636458397,1.008724415960306,93.8,1.0,False,4.07,0.893,1.0393,40.58,8.15,52.8,32.4,20.4,0.301,54.5,14.3
Cooper Flagg,PG/SG/SF,PF,35.34,8600,DAL,CHA,home,111.5,36.43,1.0778,23.9,1.1067189434585225,1.112736199752373,1.0084817351598174,1.004315960867958,0.9727687852687852,89.6,1.0,False,4.95,0.809,1.0309,39.94,13.55,60.3,26.4,33.9,0.51,66.5,10.4
Collin Gillespie,PG/SG,PG,39.72,6500,PHO,DET,home,105.5,28.77,1.0166,19.1,0.0,1.0166,1.0380593607305937,0.992553887312344,0.915197211074628,95.8,1.0,False,5.23,0.82,1.032,39.29,9.49,53.5,29.8,23.7,0.362,47.1,8.9
Julius Randle,PF,PF,31.62,8400,MIN,OKC,home,111.0,40.08,1.2,26.7,0.7500360144057623,1.2235966386554622,0.996917808219178,0.9674694651376168,0.9810310525978015,100.0,1.0,False,4.24,0.9,1.04,38.07,8.03,50.1,30.0,20.1,0.316,59.4,26.4
Andrew Wiggins,SF/PF,SF,32.78,6100,MIA,CHI,away,120.5,31.05,0.992,20.1,0.7032829373650109,1.0162965010799134,0.97513698630137,1.006716384042573,1.0810514458876186,91.7,1.0,False,3.89,0.895,1.0395,36.75,8.65,49.7,28.1,21.6,0.352,52.2,15.6
Daniel Gafford,C,C,32.34,4400,DAL,CHA,home,111.5,21.56,1.0466,14.6,0.67607098638052,1.0805248716467188,1.0084817351598174,1.0447630913602215,0.9727687852687852,64.6,1.0,False,5.52,0.643,1.0143,36.33,9.87,51.1,26.5,24.6,0.407,42.2,1.2
Dyson Daniels,SG/PG,SF,33.76,7300,ATL,HOU,home,108.5,34.47,1.0079,16.2,1.56454054054054,1.076037672072072,1.0380593607305937,0.963508766899502,0.9265640432175744,97.9,1.0,False,4.06,0.9,1.04,35.01,11.02,51.5,24.0,27.5,0.471,56.2,11.9
Matas Buzelis,PF/SF,PF,30.42,6200,CHI,MIA,home,118.0,28.86,1.0344,21.4,1.5629213483146065,1.0872822471910113,0.9560958904109588,1.0427227316617989,1.0328545891635332,97.9,1.0,False,5.97,0.777,1.0277,35.0,10.16,50.2,24.8,25.4,0.434,49.3,5.8
Moussa Diabate,C,C,28.16,5200,CHA,DAL,away,115.0,25.1,1.0203,12.4,0.0,1.0203,0.9924543378995434,1.1424603145670544,1.0527692408291376,91.7,1.0,False,,0.673,1.0173,34.89,15.0,57.4,19.9,37.5,0.645,,
Anthony Edwards,SG/SF,SG,28.45,9700,MIN,OKC,home,111.0,44.79,1.2724,31.5,0.884873949579832,1.2974203025210085,0.996917808219178,0.9539070742010416,0.9810310525978015,79.2,1.0,False,6.75,0.628,1.0128,34.88,12.23,53.2,22.7,30.500000000000004,0.525,66.4,6.2
Ausar Thompson,SF/SG,SG,32.45,6200,DET,PHO,away,109.0,28.08,1.0926,18.5,0.7399999999999999,1.1231928,1.002945205479452,0.9489862066930808,0.9691102848002658,85.4,1.0,False,5.92,0.718,1.0218,34.35,8.82,47.6,25.5,22.1,0.386,46.9,8.6
Dru Smith,SG,PG,27.62,4100,MIA,CHI,away,120.5,17.7,1.0351,16.0,0.5598272138228941,1.0604521252699783,0.97513698630137,1.0350413775030307,1.0810514458876186,97.9,1.0,False,4.38,0.891,1.0391,33.21,8.47,45.9,24.7,21.2,0.382,43.5,2.2
Kevin Durant,SF/PF,SF,27.22,9000,HOU,ATL,away,114.0,41.63,1.1312,27.0,0.0,1.1312,1.002945205479452,1.0221991135188402,1.008724415960306,89.6,1.0,False,4.89,0.813,1.0313,32.84,9.18,46.6,23.7,22.9,0.419,58.3,16.7
Chet Holmgren,C/PF,C,23.69,8500,OKC,MIN,away,117.5,36.54,1.2471,22.5,0.0,1.2471,0.9995091324200912,1.0648066248682573,0.99399202389379,87.5,1.0,False,4.3,0.845,1.0345,32.33,10.03,47.4,22.3,25.1,0.466,55.3,15.1
Coby White,SG/PG,SG,32.14,6700,CHI,MIA,home,118.0,29.45,1.019,27.4,2.001123595505617,1.0710949438202246,0.9560958904109588,0.9831922369313454,1.0328545891635332,54.2,0.95,True,4.95,0.632,1.0132,32.17,9.8,46.9,22.4,24.5,0.458,43.8,3.0
LaMelo Ball,PG,PG,21.22,7900,CHA,DAL,away,115.0,37.26,1.3699,32.2,0.0,1.3699,0.9924543378995434,1.0278401079791857,1.0527692408291376,79.2,1.0,False,5.07,0.748,1.0248,31.99,12.42,50.6,19.6,31.0,0.582,78.1,17.4
Norman Powell,SF/SG,SG,27.22,7000,MIA,CHI,away,120.5,33.34,1.086,27.3,0.9552051835853131,1.1125987904967602,0.97513698630137,0.955707391582003,1.0810514458876186,87.5,1.0,False,3.54,0.899,1.0399,31.73,8.66,44.7,23.1,21.6,0.409,49.9,10.1
Brandon Miller,SF/SG,SF,27.22,7700,CHA,DAL,away,115.0,34.13,1.1377,29.0,0.0,1.1377,0.9924543378995434,0.9589479628677332,1.0527692408291376,64.6,1.0,False,6.16,0.597,1.0097,31.33,11.12,48.0,20.2,27.8,0.532,55.0,3.5
Danny Wolf,PF/SF,PF,34.02,4600,BKN,DEN,home,101.5,17.46,0.9141,19.6,0.0,0.9141,1.0322716894977169,1.0349213563442998,0.9370512976997591,64.6,1.0,False,7.74,0.484,0.9984,31.08,9.71,45.6,21.4,24.200000000000003,0.467,34.4,0.0
Kel'el Ware,C/PF,C,20.68,4500,MIA,CHI,away,120.5,28.47,1.2167,17.4,0.6088120950323973,1.2464999524838014,0.97513698630137,1.1258973946622106,1.0810514458876186,91.7,1.0,False,7.24,0.656,1.0156,31.07,12.42,49.7,18.6,31.1,0.6,52.8,4.6
Collin Sexton,SG/PG,PG,27.62,4900,CHA,DAL,away,115.0,23.45,1.0285,25.9,0.0,1.0285,0.9924543378995434,1.0278401079791857,1.0527692408291376,81.2,1.0,False,6.19,0.678,1.0178,31.05,7.12,41.7,23.9,17.800000000000004,0.343,39.0,10.2
Max Christie,SF/SG,SG,39.94,5500,DAL,CHA,home,111.5,22.0,0.7483,16.2,0.750160957490714,0.7725556673545191,1.0084817351598174,0.9799516656456152,0.9727687852687852,89.6,1.0,False,5.26,0.787,1.0287,30.51,9.56,44.8,21.0,23.8,0.468,40.4,1.5
Donte DiVincenzo,SG/PG,SG,33.13,6400,MIN,OKC,home,111.0,29.32,0.922,17.2,0.4831692677070828,0.9401300840336134,0.996917808219178,0.9539070742010416,0.9810310525978015,100.0,1.0,False,4.43,0.898,1.0398,30.21,8.27,42.6,21.9,20.700000000000003,0.41,51.2,12.8
Caleb Martin,SF,SG,39.07,3900,DAL,CHA,home,111.5,9.77,0.7754,11.6,0.5371522905489063,0.8005340965744944,1.0084817351598174,0.9799516656456152,0.9727687852687852,83.3,1.0,False,8.27,0.54,1.004,30.19,10.14,45.4,20.0,25.4,0.504,37.0,0.0
Brandon Williams,PG,PG,27.74,5600,DAL,CHA,home,111.5,23.25,1.0473,25.5,1.1808089145687164,1.0812475617003714,1.0084817351598174,1.0089967860584572,0.9727687852687852,85.4,1.0,False,6.91,0.648,1.0148,30.13,10.11,45.3,20.0,25.3,0.503,41.5,4.1
Jabari Smith,PF/C,PF,33.18,6000,HOU,ATL,away,114.0,29.63,0.8466,17.9,0.0,0.8466,1.002945205479452,1.0369617160427227,1.008724415960306,91.7,1.0,False,,0.673,1.0173,29.98,15.0,52.5,15.0,37.5,0.751,,
Cason Wallace,SG/PG,SG,38.89,4000,OKC,MIN,away,117.5,20.05,0.7595,12.9,0.0,0.7595,0.9995091324200912,0.9531869472486572,0.99399202389379,93.8,1.0,False,5.31,0.804,1.0304,28.82,8.55,41.6,20.3,21.3,0.443,40.5,3.0
Kasparas Jakucionis,PG,PG,40.0,4100,MIA,CHI,away,120.5,10.76,0.7079,13.0,0.4548596112311014,0.7252381987041038,0.97513698630137,1.0350413775030307,1.0810514458876186,45.8,0.9,True,,0.443,0.9943,28.33,15.0,50.8,13.3,37.5,0.793,,
Nikola Vucevic,C,C,20.68,7400,CHI,MIA,home,118.0,36.42,1.1786,21.6,1.5775280898876405,1.2388542696629214,0.9560958904109588,1.0952919991858685,1.0328545891635332,95.8,1.0,False,,0.693,1.0193,28.25,15.0,50.8,13.2,37.6,0.798,,
Jonas Valanciunas,C,C,20.86,6500,DEN,BKN,away,108.0,18.17,1.2979,25.7,0.0,1.2979,1.036678082191781,1.0626462440111035,0.92844253003854,72.9,1.0,False,,0.579,1.0079,27.91,15.0,50.4,12.9,37.5,0.806,,
Rudy Gobert,C,C,25.47,6800,MIN,OKC,home,111.0,32.69,1.0411,12.5,0.351140456182473,1.061572050420168,0.996917808219178,1.0209989019315326,0.9810310525978015,95.8,1.0,False,4.98,0.838,1.0338,27.91,10.78,44.1,17.1,27.0,0.58,52.2,10.0
Kon Knueppel,SF/SG,SF,27.74,6800,CHA,DAL,away,115.0,30.98,0.9742,22.1,0.0,0.9742,0.9924543378995434,0.9589479628677332,1.0527692408291376,97.9,1.0,False,5.57,0.806,1.0306,27.91,10.58,43.8,17.3,26.5,0.569,50.5,6.1
Miles Bridges,PF/SF,PF,25.3,6700,CHA,DAL,away,115.0,32.77,1.0114,23.0,0.0,1.0114,0.9924543378995434,1.01103714575688,1.0527692408291376,97.9,1.0,False,6.05,0.772,1.0272,27.77,11.58,45.1,16.2,28.9,0.624,55.1,6.6
Ayo Dosunmu,SG,SG,27.74,5200,CHI,MIA,home,118.0,24.74,0.9515,20.7,1.5117977528089883,1.0001441011235954,0.9560958904109588,0.9831922369313454,1.0328545891635332,85.4,1.0,False,5.28,0.764,1.0264,27.65,8.78,40.8,18.9,21.9,0.476,45.8,9.4
Josh Okogie,SG/SF,SG,40.0,3800,HOU,ATL,away,114.0,13.16,0.6613,11.6,0.0,0.6613,1.002945205479452,1.0044359820266886,1.008724415960306,93.8,1.0,False,7.83,0.624,1.0124,27.21,7.74,38.8,19.5,19.3,0.426,27.6,-1.0
Tobias Harris,PF/SF,PF,30.22,5500,DET,PHO,away,109.0,25.07,0.9116,19.5,0.7799999999999999,0.9371248,1.002945205479452,0.9815119407091148,0.9691102848002658,62.5,1.0,False,6.72,0.547,1.0047,27.14,8.91,40.5,18.2,22.3,0.492,42.4,6.0
Naz Reid,C/PF,C,22.52,6300,MIN,OKC,home,111.0,29.91,1.1373,22.1,0.6208163265306124,1.1596637142857142,0.996917808219178,1.0209989019315326,0.9810310525978015,100.0,1.0,False,4.69,0.879,1.0379,27.07,10.32,42.6,16.8,25.8,0.574,46.7,3.0
Jaden McDaniels,SF/PF,SF,31.66,6700,MIN,OKC,home,111.0,28.28,0.881,18.1,0.5084513805522209,0.8983238655462185,0.996917808219178,0.945385571931158,0.9810310525978015,95.8,1.0,False,6.12,0.756,1.0255999999999998,26.97,9.91,41.8,17.1,24.7,0.55,44.9,2.7
Isaiah Hartenstein,C,C,22.36,5400,OKC,MIN,away,117.5,31.78,1.1814,17.1,0.0,1.1814,0.9995091324200912,1.0648066248682573,0.99399202389379,50.0,0.95,True,5.04,0.604,1.0104,26.82,11.71,44.4,15.1,29.3,0.655,70.3,14.0
Sion James,SF/SG,SG,39.89,3700,CHA,DAL,away,115.0,15.18,0.6121,10.8,0.0,0.6121,0.9924543378995434,1.0161980555823025,1.0527692408291376,100.0,1.0,False,5.56,0.817,1.0316999999999998,26.75,6.79,36.9,20.0,16.9,0.379,37.9,1.7
Terance Mann,SF/SG,SG,38.39,4000,BKN,DEN,home,101.5,19.16,0.7543,13.7,0.0,0.7543,1.0322716894977169,0.929422757819968,0.9370512976997591,83.3,1.0,False,5.51,0.737,1.0237,26.65,7.65,38.1,19.0,19.1,0.43,37.0,0.0
Dillon Brooks,SF/SG,PF,27.22,6500,PHO,DET,home,105.5,29.25,0.9435,27.8,0.0,0.9435,1.0380593607305937,1.0125974208203798,0.915197211074628,85.4,1.0,False,3.9,0.863,1.0363,25.6,9.33,39.6,16.3,23.3,0.547,60.6,13.6
Grayson Allen,SG/SF,SG,27.18,7000,PHO,DET,home,105.5,29.5,0.9899,22.5,0.0,0.9899,1.0380593607305937,0.9653090842804632,0.915197211074628,62.5,1.0,False,5.91,0.605,1.0105,24.93,9.97,39.9,15.0,24.9,0.6,58.4,11.4
Reed Sheppard,PG/SG,SG,22.63,5000,HOU,ATL,away,114.0,25.22,1.0169,21.3,0.0,1.0169,1.002945205479452,1.0044359820266886,1.008724415960306,93.8,1.0,False,5.64,0.78,1.028,24.04,10.52,39.8,13.5,26.3,0.656,56.3,9.8
Duncan Robinson,SG/SF,SF,34.56,3900,DET,PHO,away,109.0,20.29,0.7094,15.1,0.604,0.7292632,1.002945205479452,0.9501864182803884,0.9691102848002658,89.6,1.0,False,5.22,0.789,1.0289,23.95,7.96,35.9,16.0,19.9,0.499,36.5,1.0
Nic Claxton,C,C,20.68,6100,BKN,DEN,home,101.5,32.28,1.0905,17.3,0.0,1.0905,1.0322716894977169,1.057725376503143,0.9370512976997591,89.6,1.0,False,4.63,0.832,1.0332,23.84,11.38,40.9,12.5,28.4,0.716,55.4,13.1
Ryan Kalkbrenner,C,C,20.68,4400,CHA,DAL,away,115.0,22.39,0.9329,11.7,0.0,0.9329,0.9924543378995434,1.1424603145670544,1.0527692408291376,75.0,1.0,False,5.48,0.698,1.0198,23.48,8.86,36.8,14.6,22.2,0.567,39.8,2.0
Peyton Watson,PF/SF,SF,25.13,7400,DEN,BKN,away,108.0,28.15,0.9352,19.9,0.0,0.9352,1.036678082191781,1.0087567437409957,0.92844253003854,91.7,1.0,False,8.03,0.599,1.0099,23.04,13.26,42.9,9.8,33.099999999999994,0.862,66.1,4.9
Jaden Ivey,SG/PG,SG,27.62,3800,DET,PHO,away,109.0,14.62,0.86,20.3,0.8119999999999999,0.88408,1.002945205479452,0.9489862066930808,0.9691102848002658,62.5,1.0,False,4.27,0.722,1.0222,23.02,6.52,32.8,16.5,16.299999999999997,0.425,24.7,0.0
Isaiah Stewart,C/PF,C,20.68,4800,DET,PHO,away,109.0,23.72,1.0094,16.5,0.6599999999999999,1.0376632,1.002945205479452,1.0709277039635257,0.9691102848002658,85.4,1.0,False,5.01,0.783,1.0283,22.97,9.5,37.2,13.5,23.700000000000003,0.62,59.8,8.1
Clint Capela,C,C,17.36,4000,HOU,ATL,away,114.0,12.95,1.136,13.9,0.0,1.136,1.002945205479452,1.080529396661986,1.008724415960306,81.2,1.0,False,5.88,0.7,1.02,21.99,8.82,35.2,13.2,22.000000000000004,0.601,40.6,3.0
Pelle Larsson,SF/SG,SF,24.08,4600,MIA,CHI,away,120.5,19.32,0.8186,16.0,0.5598272138228941,0.8386495118790498,0.97513698630137,1.006716384042573,1.0810514458876186,83.3,1.0,False,7.39,0.603,1.0103,21.65,10.73,37.7,10.9,26.800000000000004,0.741,39.7,0.0
Aaron Wiggins,SF/PF,SF,25.3,5000,OKC,MIN,away,117.5,20.58,0.8684,19.2,0.0,0.8684,0.9995091324200912,0.9261821865342378,0.99399202389379,68.8,1.0,False,6.21,0.615,1.0114999999999998,20.45,10.07,35.6,10.4,25.200000000000003,0.741,43.2,0.2
Michael Porter Jr.,PF/SF,SF,17.05,8400,BKN,DEN,home,101.5,39.74,1.2042,30.4,0.0,1.2042,1.0322716894977169,0.998434924090151,0.9370512976997591,77.1,1.0,False,4.22,0.798,1.0298,20.42,11.64,37.9,8.8,29.1,0.856,65.5,16.4
Tyrese Martin,SG/SF,SG,27.62,3800,BKN,DEN,home,101.5,15.16,0.7937,18.8,0.0,0.7937,1.0322716894977169,0.929422757819968,0.9370512976997591,72.9,1.0,False,5.57,0.681,1.0181,20.07,8.61,33.0,11.5,21.5,0.644,39.7,2.7
Jalen Pickett,PG/SG,PG,27.43,5300,DEN,BKN,away,108.0,14.58,0.7755,14.9,0.0,0.7755,1.036678082191781,0.9951943528044208,0.92844253003854,66.7,1.0,False,11.66,0.334,0.9834,20.04,10.56,35.9,9.5,26.4,0.791,41.5,0.0
PJ Washington,PF/SF,PF,18.76,6900,DAL,CHA,home,111.5,30.89,0.9965,21.1,0.9770614940156832,1.0288009120924475,1.0084817351598174,1.004315960867958,0.9727687852687852,70.8,1.0,False,,0.568,1.0068,19.15,15.0,41.6,4.1,37.5,1.172,,
Nickeil Alexander-Walker,SG/PG,SG,18.91,6900,ATL,HOU,home,108.5,33.05,1.0046,24.6,2.375783783783784,1.07251458018018,1.0380593607305937,0.9427451064390816,0.9265640432175744,97.9,1.0,False,3.48,0.9,1.04,19.13,9.82,33.9,9.3,24.6,0.772,57.3,13.4
Jaime Jaquez,SF/PF,SF,17.05,6400,MIA,CHI,away,120.5,29.29,1.0135,21.8,0.7627645788336933,1.0383230885529158,0.97513698630137,1.006716384042573,1.0810514458876186,89.6,1.0,False,,0.662,1.0162,19.09,15.0,41.6,4.1,37.5,1.179,,
Royce O'Neale,SF/PF,SF,25.3,5000,PHO,DET,home,105.5,23.48,0.7959,14.5,0.0,0.7959,1.0380593607305937,0.9410648102168512,0.915197211074628,97.9,1.0,False,4.28,0.898,1.0398,18.72,8.61,31.6,10.1,21.5,0.688,54.1,7.4
Jaylen Clark,SG,SG,27.22,3700,MIN,OKC,home,111.0,9.78,0.6936,12.4,0.3483313325330132,0.7072388571428572,0.996917808219178,0.9539070742010416,0.9810310525978015,93.8,1.0,False,5.33,0.803,1.0303,18.5,7.18,29.3,11.3,18.0,0.584,30.9,-1.0
Isaac Okoro,SF,SF,24.23,3900,CHI,MIA,home,118.0,16.59,0.661,13.3,0.9713483146067414,0.6947926966292135,0.9560958904109588,1.007676553312419,1.0328545891635332,81.2,1.0,False,5.83,0.704,1.0204,17.09,8.22,29.4,8.9,20.5,0.72,40.0,1.0
